MOBILE_NAME RATING PRICE RAM SIZE CAMERA  BATTERY PROCESSOR  CHARGE
Realme C2 (Diamond Black| 32 GB),₹5,999₹7,99925% offNo Cost EMIUpto ₹5,800 Off on Exchange,,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,

Realme C2 (Diamond Black| 32 GB),₹6,999₹8,99922% offNo Cost EMIUpto ₹6,950 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,

Realme C2 (Diamond Sapphire| 32 GB),₹6,999₹8,99922% offNo Cost EMIUpto ₹6,950 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,

Realme C2 (Diamond Blue| 32 GB),₹6,999₹8,99922% offNo Cost EMIUpto ₹6,950 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,

Realme 3 (Dynamic Black| 64 GB),₹9,999₹12,99923% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme 3 (Radiant Blue| 64 GB),₹9,999₹12,99923% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme 3i (Diamond Black| 32 GB),₹7,499₹8,99916% offNo Cost EMIUpto ₹7,350 Off on Exchange,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme 3i (Diamond Red| 64 GB),₹9,499₹10,99913% offNo Cost EMIUpto ₹9,250 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 13MP Front Camera,4230 mAh Battery,

Realme XT (Pearl Blue| 64 GB),₹15,999₹16,9995% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,

Realme XT (Pearl Blue| 64 GB),₹16,999₹17,9995% offNo Cost EMIUpto ₹10,800 Off on Exchange,,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Display,64MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4000 mAh Battery,

Redmi Note 7 Pro (Neptune Blue| 64 GB),₹11,999₹15,99925% offNo Cost EMIUpto ₹10,800 Off on Exchange,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,

Realme 5 Pro (Crystal Green| 128 GB),₹15,999₹17,99911% offNo Cost EMIUpto ₹10,800 Off on Exchange,,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) FHD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,

